mediator_col,n,tau_hat,tau_se,tau_ci_low,tau_ci_high,gamma_hat,gamma_se,gamma_ci_low,gamma_ci_high,delta_star
df44,2641,0.109991892197345,0.0146765471062051,0.0812263884517774,0.1387573959429125,0.0060063382203628,0.0067435022688042,-0.0072106833561577,0.0192233597968833,18.312637111318203
dn05,2629,0.109991892197345,0.0146765471062051,0.0812263884517774,0.1387573959429125,0.0026156152666956,0.0063947495863338,-0.0099178636126711,0.0151490941460625,42.052014911313165
dn07,2646,0.109991892197345,0.0146765471062051,0.0812263884517774,0.1387573959429125,0.0029438723379345,0.0060468657937217,-0.0089077668371074,0.0147955115129764,37.36299661503589
no_denomination,2629,0.109991892197345,0.0146765471062051,0.0812263884517774,0.1387573959429125,0.019001413305286,0.0064126307246409,0.0064328880388347,0.0315699385717373,5.7886163744854775
ru01,2646,0.109991892197345,0.0146765471062051,0.0812263884517774,0.1387573959429125,-0.0154728672614872,0.0062652412186359,-0.0277525144044695,-0.0031932201185049,-7.108694874615809
rb07,2645,0.109991892197345,0.0146765471062051,0.0812263884517774,0.1387573959429125,-0.0086294836464768,0.0058391619380347,-0.0200740307449219,0.0028150634519683,-12.746057203810985
rp01,2608,0.109991892197345,0.0146765471062051,0.0812263884517774,0.1387573959429125,0.0197357863128975,0.0048302837285778,0.0102686041697751,0.0292029684560198,5.573220668966423
gs01,2645,0.109991892197345,0.0146765471062051,0.0812263884517774,0.1387573959429125,0.0106229571750397,0.0053095762110906,0.0002163790281314,0.0210295353219481,10.354168842531667
