outcome,spec,n,ate_aipw,se_aipw,ci_aipw,ato_ow,se_ow,ci_ow,ate_ci_cluster_xs11,ato_ci_cluster_xs11,ate_ci_cluster_land,ato_ci_cluster_land
y_afd_vote,spec_a,3516,0.1107,0.017,"[0.0774, 0.1439]",0.1355,0.014,"[0.1081, 0.1629]","[0.0803, 0.141]","[0.1068, 0.1643]","[0.072, 0.1493]","[0.0957, 0.1754]"
y_afd_vote,spec_a_plus,3516,0.11,0.0215,"[0.0678, 0.1522]",0.1318,0.0145,"[0.1034, 0.1603]","[0.0719, 0.1481]","[0.1026, 0.1611]","[0.0712, 0.1488]","[0.0909, 0.1728]"
y_afd_vote,spec_b_ses,3516,0.1114,0.0277,"[0.0572, 0.1656]",0.1152,0.0149,"[0.086, 0.1443]",,,,
y_afd_vote_all_valid,spec_a,3715,0.1049,0.0162,"[0.0731, 0.1368]",0.1264,0.0133,"[0.1004, 0.1524]","[0.0751, 0.1348]","[0.099, 0.1538]","[0.069, 0.1409]","[0.089, 0.1637]"
y_afd_vote_all_valid,spec_a_plus,3715,0.1103,0.0229,"[0.0654, 0.1552]",0.1223,0.0138,"[0.0953, 0.1494]","[0.0686, 0.152]","[0.0944, 0.1502]","[0.0664, 0.1543]","[0.0843, 0.1604]"
y_afd_vote_all_valid,spec_b_ses,3715,0.0998,0.0236,"[0.0536, 0.146]",0.1078,0.0142,"[0.08, 0.1356]",,,,
would_not_vote,spec_a,3715,0.011,0.0114,"[-0.0113, 0.0333]",0.0137,0.0087,"[-0.0033, 0.0307]","[-0.0119, 0.034]","[-0.0043, 0.0318]","[-0.0081, 0.0301]","[-0.0023, 0.0297]"
would_not_vote,spec_a_plus,3715,0.012,0.0136,"[-0.0146, 0.0387]",0.0193,0.0089,"[0.0019, 0.0368]","[-0.0159, 0.0399]","[0.0006, 0.038]","[-0.0087, 0.0327]","[0.0036, 0.035]"
would_not_vote,spec_b_ses,3715,0.0217,0.0194,"[-0.0164, 0.0598]",0.0173,0.0087,"[0.0002, 0.0344]",,,,
