outcome,cluster_var,n_obs,n_clusters,tau_observed,cluster_robust_se,permutation_p_value,placebo_mean,placebo_sd,B
y_afd_vote,land,2649,17,0.1450175572588847,0.0230194299914233,0.0,0.0005845908495546,0.0243174446233196,1000
y_afd_vote,xs11,2649,191,0.1450175572588847,0.0167611973163093,0.0,0.0005381600788608,0.0137484325099272,1000
y_afd_vote_all_valid,land,2777,17,0.1346912692183893,0.0219664586881677,0.0,0.0005254382111278,0.0231285970478844,1000
y_afd_vote_all_valid,xs11,2777,191,0.1346912692183893,0.0159488698570591,0.0,9.578808971020033e-05,0.0129018083283995,1000
